feature,family
gradient_glszm_GrayLevelNonUniformity,glszm
gradient_ngtdm_Busyness,ngtdm
gradient_ngtdm_Strength,ngtdm
original_glrlm_GrayLevelNonUniformity,glrlm
original_glrlm_RunLengthNonUniformity,glrlm
original_glszm_GrayLevelNonUniformity,glszm
original_ngtdm_Busyness,ngtdm
gradient_ngtdm_Coarseness,ngtdm
original_glcm_Idmn,glcm
original_gldm_GrayLevelNonUniformity,gldm
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm
original_ngtdm_Coarseness,ngtdm
