feature,family
gradient_gldm_GrayLevelNonUniformity,gldm
gradient_glrlm_GrayLevelNonUniformity,glrlm
gradient_glrlm_LongRunEmphasis,glrlm
gradient_glszm_SmallAreaEmphasis,glszm
gradient_glszm_SmallAreaHighGrayLevelEmphasis,glszm
gradient_glszm_ZonePercentage,glszm
gradient_glszm_LowGrayLevelZoneEmphasis,glszm
gradient_ngtdm_Contrast,ngtdm
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm
original_glrlm_LongRunEmphasis,glrlm
original_glszm_ZonePercentage,glszm
